Common Name,Species,Genus,Family,Order,Class,Phylum
aardwolf,cristatus,Proteles,Hyaenidae,Carnivora,Mammalia,Chordata
Aba roundleaf bat,abae,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
Abbott's Booby,abbotti,Papasula,Sulidae,Ciconiiformes,Aves,Chordata
Abbott's duiker,spadix,Cephalophus,Bovidae,Artiodactyla,Mammalia,Chordata
Aberdare shrew,norae,Surdisorex,Soricidae,Insectivora,Mammalia,Chordata
Abert's squirrel,aberti,Sciurus,Sciuridae,Rodentia,Mammalia,Chordata
abo bat,poensis,Chalinolobus,Vespertilionidae,Chiroptera,Mammalia,Chordata
abyssal skate,bathyphila,Rajella,Rajidae,Rajiformes,Elasmobranchii,Chordata
Abyssinian genet,abyssinica,Genetta,Viverridae,Carnivora,Mammalia,Chordata
acadian flycatcher,virescens,Empidonax,Tyrannidae,Passeriformes,Aves,Chordata
acuminate horseshoe bat,acuminatus,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,Chordata
Acutenose skate,tengu,Dipturus,Rajidae,Rajiformes,Elasmobranchii,Chordata
Adam's horseshoe bat,adami,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,Chordata
Adanson's mud turtle,adansonii,Pelusios,Pelomedusidae,Testudines,Reptilia,Chordata
addax,nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata
Adelie Penguin,adeliae,Pygoscelis,Spheniscidae,Ciconiiformes,Aves,Chordata
Aders's duiker,adersi,Cephalophus,Bovidae,Artiodactyla,Mammalia,Chordata
Admirality flying fox,admiralitatum,Pteropus,Pteropodidae,Chiroptera,Mammalia,Chordata
admiralty flying fox,admiralitatum,Pteropus,Pteropodidae,Chiroptera,Mammalia,Chordata
Aellen's pipistrelle,inexspectatus,Pipistrellus,Vespertilionidae,Chiroptera,Mammalia,Chordata
Aellen's roundleaf bat,marisae,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
Afghan flying squirrel,baberi,Hylopetes,Sciuridae,Rodentia,Mammalia,Chordata
Afghan mouse-like hamster,mystax,Calomyscus,Muridae,Rodentia,Mammalia,Chordata
Afghan pika,rufescens,Ochotona,Ochotonidae,Lagomorpha,Mammalia,Chordata
Afghan vole,afghanus,Blanfordimys,Muridae,Rodentia,Mammalia,Chordata
African angel shark,africana,Squatina,Squatinidae,Squatiniformes,Elasmobranchii,Chordata
African angelshark,africana,Squatina,Squatinidae,Squatiniformes,Elasmobranchii,Chordata
African buffalo,caffer,Syncerus,Bovidae,Artiodactyla,Mammalia,Chordata
African chimaera,africanus,Hydrolagus,Chimaeridae,Chimaeriformes,Holocephali,Chordata
African civet,civetta,Civettictis,Viverridae,Carnivora,Mammalia,Chordata
African clawed frog,laevis,Xenopus,Pipidae,Anura,Amphibia,Chordata
African clawless otter,capensis,Aonyx,Mustelidae,Carnivora,Mammalia,Chordata
African dwarf crocodile,tetraspis,Osteolaemus,Crocodylidae,Crocodilia,Reptilia,Chordata
African dwarf mud turtle,nanus,Pelusios,Pelomedusidae,Testudines,Reptilia,Chordata
African elephant,africana,Loxodonta,Elephantidae,Proboscidea,Mammalia,Chordata
African foggy shrew,caliginea,Crocidura,Soricidae,Insectivora,Mammalia,Chordata
African forest elephant,cyclotis,Loxodonta,Elephantidae,Proboscidea,Mammalia,Chordata
African forest turtle,gabonensis,Pelusios,Pelomedusidae,Testudines,Reptilia,Chordata
African gavial,cataphractus,Crocodylus,Crocodylidae,Crocodilia,Reptilia,Chordata
African giant free-tailed bat,ventralis,Tadarida,Molossidae,Chiroptera,Mammalia,Chordata
African golden cat,aurata,Profelis,Felidae,Carnivora,Mammalia,Chordata
African hunting dog,pictus,Lycaon,Canidae,Carnivora,Mammalia,Chordata
African keeled mud turtle,carinatus,Pelusios,Pelomedusidae,Testudines,Reptilia,Chordata
African lantern shark,polli,Etmopterus,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
African lanternshark,polli,Etmopterus,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
African linsang,richardsonii,Poiana,Viverridae,Carnivora,Mammalia,Chordata
African manatee,senegalensis,Trichechus,Trichechidae,Sirenia,Mammalia,Chordata
African palm civet,binotata,Nandinia,Viverridae,Carnivora,Mammalia,Chordata
African pancake tortoise,tornieri,Malacochersus,Testudinidae,Testudines,Reptilia,Chordata
African pygmy squirrel,pumilio,Myosciurus,Sciuridae,Rodentia,Mammalia,Chordata
African ray,africana,Raja,Rajidae,Rajiformes,Elasmobranchii,Chordata
African ray,asperrimus,Urogymnus,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
African ribbontail cat shark,sinuans,Eridacnis,Proscylliidae,Carcharhiniformes,Elasmobranchii,Chordata
African ribbontail catshark,sinuans,Eridacnis,Proscylliidae,Carcharhiniformes,Elasmobranchii,Chordata
African savanna hare,victoriae,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata
African savannah elephant,africana,Loxodonta,Elephantidae,Proboscidea,Mammalia,Chordata
African sawtail cat shark,polli,Galeus,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,Chordata
African sawtail catshark,polli,Galeus,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,Chordata
African sharp-nosed crocodile,cataphractus,Crocodylus,Crocodylidae,Crocodilia,Reptilia,Chordata
African sheath-tailed bat,afra,Coleura,Emballonuridae,Chiroptera,Mammalia,Chordata
African skate,africana,Raja,Rajidae,Rajiformes,Elasmobranchii,Chordata
African Skimmer,flavirostris,Rynchops,Laridae,Ciconiiformes,Aves,Chordata
African slender-snouted crocodile,cataphractus,Crocodylus,Crocodylidae,Crocodilia,Reptilia,Chordata
African small-clawed otter,capensis,Aonyx,Mustelidae,Carnivora,Mammalia,Chordata
African softnose skate,smithii,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
African softshell turtle,triunguis,Trionyx,Trionychidae,Testudines,Reptilia,Chordata
African spotted catshark,punctatus,Holohalaelurus,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,Chordata
African spurred tortoise,sulcata,Geochelone,Testudinidae,Testudines,Reptilia,Chordata
African striped weasel,albinucha,Poecilogale,Mustelidae,Carnivora,Mammalia,Chordata
African wedgefish,luebberti,Rhynchobatus,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
African wild ass,asinus,Equus,Equidae,Perissodactyla,Mammalia,Chordata
African wild cat,lybica,Felis,Felidae,Carnivora,Mammalia,Chordata
African wild dog,pictus,Lycaon,Canidae,Carnivora,Mammalia,Chordata
African yellow bat,dinganii,Scotophilus,Vespertilionidae,Chiroptera,Mammalia,Chordata
Afro-American house gecko,mabouia,Hemidactylus,Gekkonidae,Squamata,Reptilia,Chordata
Agag gerbil,agag,Gerbillus,Muridae,Rodentia,Mammalia,Chordata
agile gibbon,agilis,Hylobates,Hylobatidae,Primates,Mammalia,Chordata
agile kangaroo rat,agilis,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata
agile mangabey,agilis,Cercocebus,Cercopithecidae,Primates,Mammalia,Chordata
agile wallaby,agilis,Macropus,Macropodidae,Diprotodontia,Mammalia,Chordata
Aguja skate,aguja,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Alabama map turtle,pulchra,Graptemys,Emydidae,Testudines,Reptilia,Chordata
Alabama red-bellied turtle,alabamensis,Pseudemys,Emydidae,Testudines,Reptilia,Chordata
Alabama waterdog,alabamensis,Necturus,Proteidae,Caudata,Amphibia,Chordata
Alai mole vole,alaicus,Ellobius,Muridae,Rodentia,Mammalia,Chordata
Alamos mud turtle,alamosae,Kinosternon,Kinosternidae,Testudines,Reptilia,Chordata
Alashan ground squirrel,alashanicus,Spermophilus,Sciuridae,Rodentia,Mammalia,Chordata
Alaska marmot,broweri,Marmota,Sciuridae,Rodentia,Mammalia,Chordata
Alaska skate,parmifera,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Alaska skate,parmifera,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Alaska tiny shrew,yukonicus,Sorex,Soricidae,Insectivora,Mammalia,Chordata
Alaskan brook lamprey,alaskensis,Lampetra,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Alaskan hare,othus,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata
Alcorn's pocket gopher,alcorni,Pappogeomys,Geomyidae,Rodentia,Mammalia,Chordata
Aldabra flying fox,aldabrensis,Pteropus,Pteropodidae,Chiroptera,Mammalia,Chordata
Aldabra tortoise,gigantea,Geochelone,Testudinidae,Testudines,Reptilia,Chordata
alder flycatcher,alnorum,Empidonax,Tyrannidae,Passeriformes,Aves,Chordata
Aleutian dotted skate,longi,Rhinoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Aleutian island collared lemming,unalascensis,Dicrostonyx,Muridae,Rodentia,Mammalia,Chordata
Aleutian skate,aleutica,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Aleutian skate,aleutica,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Alexander's bush squirrel,alexandri,Paraxerus,Sciuridae,Rodentia,Mammalia,Chordata
Alexander's cusimanse,alexandri,Crossarchus,Herpestidae,Carnivora,Mammalia,Chordata
Alexandrian shrew,aleksandrisi,Crocidura,Soricidae,Insectivora,Mammalia,Chordata
Alexandrine torpedo,alexandrinsis,Torpedo,Torpedinidae,Torpediniformes,Elasmobranchii,Chordata
Alfaro's rice rat,alfaroi,Oryzomys,Muridae,Rodentia,Mammalia,Chordata
Alfaro's rice water rat,alfari,Sigmodontomys,Muridae,Rodentia,Mammalia,Chordata
Algerian gerbil,garamantis,Gerbillus,Muridae,Rodentia,Mammalia,Chordata
Allegheny mountain dusky salamander,ochrophaeus,Desmognathus,Plethodontidae,Caudata,Amphibia,Chordata
Allegheny woodrat,magister,Neotoma,Muridae,Rodentia,Mammalia,Chordata
Allen's big-eared bat,phyllotis,Idionycteris,Vespertilionidae,Chiroptera,Mammalia,Chordata
Allen's chipmunk,senex,Tamias,Sciuridae,Rodentia,Mammalia,Chordata
Allen's cotton rat,alleni,Sigmodon,Muridae,Rodentia,Mammalia,Chordata
Allen's olingo,alleni,Bassaricyon,Procyonidae,Carnivora,Mammalia,Chordata
Allen's squirrel,alleni,Sciurus,Sciuridae,Rodentia,Mammalia,Chordata
Allen's squirrel galago,alleni,Galago,Galagonidae,Primates,Mammalia,Chordata
Allen's striped bat,alboguttatus,Chalinolobus,Vespertilionidae,Chiroptera,Mammalia,Chordata
Allen's swamp monkey,nigroviridis,Allenopithecus,Cercopithecidae,Primates,Mammalia,Chordata
Allen's woodrat,alleni,Hodomys,Muridae,Rodentia,Mammalia,Chordata
Allen's yellow bat,alleni,Rhogeessa,Vespertilionidae,Chiroptera,Mammalia,Chordata
Allenby's gerbil,allenbyi,Gerbillus,Muridae,Rodentia,Mammalia,Chordata
Allens skate,alleni,Pavoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
alligator,mississippiensis,Alligator,Alligatoridae,Crocodilia,Reptilia,Chordata
alligator snapping turtle,temminckii,Macroclemys,Chelydridae,Testudines,Reptilia,Chordata
alpaca,pacos,Lama,Camelidae,Artiodactyla,Mammalia,Chordata
Alpine chipmunk,alpinus,Tamias,Sciuridae,Rodentia,Mammalia,Chordata
alpine marmot,marmota,Marmota,Sciuridae,Rodentia,Mammalia,Chordata
alpine musk deer,chrysogaster,Moschus,Moschidae,Artiodactyla,Mammalia,Chordata
alpine pika,alpina,Ochotona,Ochotonidae,Lagomorpha,Mammalia,Chordata
alpine pine vole,multiplex,Microtus,Muridae,Rodentia,Mammalia,Chordata
alpine shrew,alpinus,Sorex,Soricidae,Insectivora,Mammalia,Chordata
Alston's brown mouse,teguina,Scotinomys,Muridae,Rodentia,Mammalia,Chordata
Alston's cotton rat,alstoni,Sigmodon,Muridae,Rodentia,Mammalia,Chordata
Altai vole,obscurus,Microtus,Muridae,Rodentia,Mammalia,Chordata
altiplano chinchilla mouse,sahamae,Chinchillula,Muridae,Rodentia,Mammalia,Chordata
altiplano grass mouse,puer,Akodon,Muridae,Rodentia,Mammalia,Chordata
Amami rabbit,furnessi,Pentalagus,Leporidae,Lagomorpha,Mammalia,Chordata
Amami shrew,orii,Crocidura,Soricidae,Insectivora,Mammalia,Chordata
Amargosa toad,nelsoni,Bufo,Bufonidae,Anura,Amphibia,Chordata
Amargosa vole,californicus,Microtus,Muridae,Rodentia,Mammalia,Chordata
Amatola Toad,amatolicus,Bufo,Bufonidae,Anura,Amphibia,Chordata
Amazon dwarf squirrel,flaviventer,Microsciurus,Sciuridae,Rodentia,Mammalia,Chordata
Amazon manatee,inunguis,Trichechus,Trichechidae,Sirenia,Mammalia,Chordata
Amazon River dolphin,geoffrensis,Inia,Iniidae,Cetacea,Mammalia,Chordata
Amazon toad-headed turtle,raniceps,Phrynops,Chelidae,Testudines,Reptilia,Chordata
Amazon tree boa,hortulanus,Corallus,Boidae,Squamata,Reptilia,Chordata
Amazonian manatee,inunguis,Trichechus,Trichechidae,Sirenia,Mammalia,Chordata
Amazonian sac-winged bat,gymnura,Saccopteryx,Emballonuridae,Chiroptera,Mammalia,Chordata
Ambon flying fox,argentatus,Pteropus,Pteropodidae,Chiroptera,Mammalia,Chordata
Ambon sharpnose puffer,amboinensis,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
American alligator,mississippiensis,Alligator,Alligatoridae,Crocodilia,Reptilia,Chordata
american avocet,americana,Recurvirostra,Charadriidae,Ciconiiformes,Aves,Chordata
American badger,taxus,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata
american beaver,canadensis,Castor,Castoridae,Rodentia,Mammalia,Chordata
American bison,bison,Bison,Bovidae,Artiodactyla,Mammalia,Chordata
American bison,bison,Bos,Bovidae,Artiodactyla,Mammalia,Chordata
american bittern,lentiginosus,Botaurus,Ardeidae,Ciconiiformes,Aves,Chordata
American black bear,americanus,Ursus,Ursidae,Carnivora,Mammalia,Chordata
american black duck,rubripes,Anas,Anatidae,Anseriformes,Aves,Chordata
American brook lamprey,appendix,Lampetra,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
American brook lamprey,appendix,Lampetra,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
american coot,americana,Fulica,Rallidae,Gruiformes,Aves,Chordata
American crocodile,acutus,Crocodylus,Crocodylidae,Crocodilia,Reptilia,Chordata
american crow,brachyrhynchos,Corvus,Corvidae,Passeriformes,Aves,Chordata
american golden-plover,dominica,Pluvialis,Charadriidae,Ciconiiformes,Aves,Chordata
american goldfinch,tristis,Carduelis,Fringillidae,Passeriformes,Aves,Chordata
american kestrel,sparverius,Falco,Falconidae,Ciconiiformes,Aves,Chordata
American legskate,americanus,Anacanthobatis,Anacanthobatidae,Rajiformes,Elasmobranchii,Chordata
american marten,americana,Martes,Mustelidae,Carnivora,Mammalia,Chordata
American mink,vison,Mustela,Mustelidae,Carnivora,Mammalia,Chordata
american oystercatcher,palliatus,Haematopus,Charadriidae,Ciconiiformes,Aves,Chordata
American pika,princeps,Ochotona,Ochotonidae,Lagomorpha,Mammalia,Chordata
american pipit,rubescens,Anthus,Passeridae,Passeriformes,Aves,Chordata
American red-bellied turtle,rubriventris,Pseudemys,Emydidae,Testudines,Reptilia,Chordata
american redstart,ruticilla,Setophaga,Fringillidae,Passeriformes,Aves,Chordata
american robin,migratorius,Turdus,Muscicapidae,Passeriformes,Aves,Chordata
American shrew mole,gibbsii,Neurotrichus,Talpidae,Insectivora,Mammalia,Chordata
American shrew-mole,gibbsii,Neurotrichus,Talpidae,Insectivora,Mammalia,Chordata
American toad,americanus,Bufo,Bufonidae,Anura,Amphibia,Chordata
american tree sparrow,arborea,Spizella,Fringillidae,Passeriformes,Aves,Chordata
American water shrew,palustris,Sorex,Soricidae,Insectivora,Mammalia,Chordata
